date,game,team,line,side,p_model,p_mkt,edge,price,book,nb,mean,lineup,game_pk,pay,ev,on_board
2026-08-20,STL@CIN,STL,2.5,Over,0.794,0.714,0.079,-333,williamhill_us,1,5.36,CONF (statsapi),824474,0.3003,0.0324,False
2026-08-20,STL@CIN,STL,2.5,Under,0.206,0.286,-0.079,225,williamhill_us,1,5.36,CONF (statsapi),824474,2.25,-0.3305,False
2026-08-20,STL@CIN,STL,3.5,Over,0.674,0.603,0.071,-175,williamhill_us,2,5.36,CONF (statsapi),824474,0.5714,0.0591,False
2026-08-20,STL@CIN,STL,3.5,Under,0.326,0.397,-0.071,145,betrivers,2,5.36,CONF (statsapi),824474,1.45,-0.2013,False
2026-08-20,STL@CIN,STL,4.5,Over,0.553,0.482,0.07,100,williamhill_us,5,5.36,CONF (statsapi),824474,1.0,0.106,True
2026-08-20,STL@CIN,STL,4.5,Under,0.447,0.518,-0.07,-114,betrivers,5,5.36,CONF (statsapi),824474,0.8772,-0.1609,False
2026-08-20,STL@CIN,STL,5.5,Over,0.431,0.377,0.055,160,williamhill_us,2,5.36,CONF (statsapi),824474,1.6,0.1206,False
2026-08-20,STL@CIN,STL,5.5,Under,0.569,0.623,-0.055,-182,betrivers,2,5.36,CONF (statsapi),824474,0.5495,-0.1184,False
2026-08-20,STL@CIN,STL,6.5,Over,0.325,0.283,0.042,230,williamhill_us,1,5.36,CONF (statsapi),824474,2.3,0.0725,False
2026-08-20,STL@CIN,STL,6.5,Under,0.675,0.717,-0.042,-333,williamhill_us,1,5.36,CONF (statsapi),824474,0.3003,-0.1223,False
2026-08-20,STL@CIN,STL,7.5,Over,0.233,0.212,0.021,340,williamhill_us,1,5.36,CONF (statsapi),824474,3.4,0.0252,False
2026-08-20,STL@CIN,STL,7.5,Under,0.767,0.788,-0.021,-550,williamhill_us,1,5.36,CONF (statsapi),824474,0.1818,-0.0935,False
2026-08-20,STL@CIN,STL,8.5,Over,0.166,0.155,0.012,500,williamhill_us,1,5.36,CONF (statsapi),824474,5.0,-0.004,False
2026-08-20,STL@CIN,STL,8.5,Under,0.834,0.845,-0.012,-1000,williamhill_us,1,5.36,CONF (statsapi),824474,0.1,-0.0826,False
2026-08-20,STL@CIN,CIN,2.5,Over,0.683,0.699,-0.016,-300,williamhill_us,1,4.09,CONF (statsapi),824474,0.3333,-0.0893,False
2026-08-20,STL@CIN,CIN,2.5,Under,0.317,0.301,0.016,210,williamhill_us,1,4.09,CONF (statsapi),824474,2.1,-0.0173,False
2026-08-20,STL@CIN,CIN,3.5,Over,0.53,0.577,-0.048,-154,williamhill_us,2,4.09,CONF (statsapi),824474,0.6494,-0.1258,False
2026-08-20,STL@CIN,CIN,3.5,Under,0.47,0.423,0.048,128,betrivers,2,4.09,CONF (statsapi),824474,1.28,0.0716,False
2026-08-20,STL@CIN,CIN,4.5,Over,0.391,0.437,-0.046,120,draftkings,5,4.09,CONF (statsapi),824474,1.2,-0.1398,False
2026-08-20,STL@CIN,CIN,4.5,Under,0.609,0.563,0.046,-139,betrivers,5,4.09,CONF (statsapi),824474,0.7194,0.0471,True
2026-08-20,STL@CIN,CIN,5.5,Over,0.272,0.332,-0.06,188,betrivers,2,4.09,CONF (statsapi),824474,1.88,-0.2166,False
2026-08-20,STL@CIN,CIN,5.5,Under,0.728,0.668,0.06,-240,betrivers,2,4.09,CONF (statsapi),824474,0.4167,0.0313,False
2026-08-20,STL@CIN,CIN,6.5,Over,0.178,0.243,-0.065,290,williamhill_us,1,4.09,CONF (statsapi),824474,2.9,-0.3058,False
2026-08-20,STL@CIN,CIN,6.5,Under,0.822,0.757,0.065,-400,williamhill_us,1,4.09,CONF (statsapi),824474,0.25,0.0275,False
2026-08-20,STL@CIN,CIN,7.5,Over,0.112,0.172,-0.06,450,williamhill_us,1,4.09,CONF (statsapi),824474,4.5,-0.384,False
2026-08-20,STL@CIN,CIN,7.5,Under,0.888,0.828,0.06,-700,williamhill_us,1,4.09,CONF (statsapi),824474,0.1429,0.0149,False
2026-08-20,STL@CIN,CIN,8.5,Over,0.067,0.125,-0.058,650,williamhill_us,1,4.09,CONF (statsapi),824474,6.5,-0.4975,False
2026-08-20,STL@CIN,CIN,8.5,Under,0.933,0.875,0.058,-1400,williamhill_us,1,4.09,CONF (statsapi),824474,0.0714,-0.0004,False
2026-08-20,SF@CLE,SF,1.5,Over,0.809,0.689,0.12,-265,betrivers,1,4.02,CONF (statsapi),824395,0.3774,0.1143,False
2026-08-20,SF@CLE,SF,1.5,Under,0.191,0.311,-0.12,205,betrivers,1,4.02,CONF (statsapi),824395,2.05,-0.4174,False
2026-08-20,SF@CLE,SF,2.5,Over,0.664,0.519,0.145,-113,fanduel,4,4.02,CONF (statsapi),824395,0.885,0.2516,True
2026-08-20,SF@CLE,SF,2.5,Under,0.336,0.481,-0.145,100,betrivers,4,4.02,CONF (statsapi),824395,1.0,-0.328,False
2026-08-20,SF@CLE,SF,3.5,Over,0.517,0.372,0.144,155,betrivers,1,4.02,CONF (statsapi),824395,1.55,0.3183,False
2026-08-20,SF@CLE,SF,3.5,Under,0.483,0.628,-0.144,-195,betrivers,1,4.02,CONF (statsapi),824395,0.5128,-0.2693,False
2026-08-20,SF@CLE,CLE,2.5,Over,0.668,0.689,-0.021,-265,betrivers,1,4.01,CONF (statsapi),824395,0.3774,-0.0799,False
2026-08-20,SF@CLE,CLE,2.5,Under,0.332,0.311,0.021,205,betrivers,1,4.01,CONF (statsapi),824395,2.05,0.0126,False
2026-08-20,SF@CLE,CLE,3.5,Over,0.517,0.551,-0.033,-136,betrivers,4,4.01,CONF (statsapi),824395,0.7353,-0.1029,False
2026-08-20,SF@CLE,CLE,3.5,Under,0.483,0.449,0.033,114,draftkings,4,4.01,CONF (statsapi),824395,1.14,0.0336,True
2026-08-20,SF@CLE,CLE,4.5,Over,0.377,0.408,-0.031,133,betrivers,1,4.01,CONF (statsapi),824395,1.33,-0.1216,False
2026-08-20,SF@CLE,CLE,4.5,Under,0.623,0.592,0.031,-165,betrivers,1,4.01,CONF (statsapi),824395,0.6061,0.0006,False
2026-08-20,TOR@TB,TOR,2.5,Over,0.593,0.575,0.018,-154,fanduel,3,3.57,CONF (statsapi),822934,0.6494,-0.0219,False
2026-08-20,TOR@TB,TOR,2.5,Under,0.407,0.425,-0.018,128,betrivers,3,3.57,CONF (statsapi),822934,1.28,-0.072,False
2026-08-20,TOR@TB,TOR,3.5,Over,0.44,0.437,0.003,123,betrivers,4,3.57,CONF (statsapi),822934,1.23,-0.0188,False
2026-08-20,TOR@TB,TOR,3.5,Under,0.56,0.563,-0.003,-145,draftkings,4,3.57,CONF (statsapi),822934,0.6897,-0.0538,False
2026-08-20,TOR@TB,TOR,4.5,Over,0.317,0.306,0.011,215,betrivers,2,3.57,CONF (statsapi),822934,2.15,-0.0015,False
2026-08-20,TOR@TB,TOR,4.5,Under,0.683,0.694,-0.011,-275,williamhill_us,2,3.57,CONF (statsapi),822934,0.3636,-0.0686,False
2026-08-20,TOR@TB,TOR,5.5,Over,0.214,0.222,-0.008,320,williamhill_us,1,3.57,CONF (statsapi),822934,3.2,-0.1012,False
2026-08-20,TOR@TB,TOR,5.5,Under,0.786,0.778,0.008,-500,williamhill_us,1,3.57,CONF (statsapi),822934,0.2,-0.0568,False
2026-08-20,TOR@TB,TOR,6.5,Over,0.14,0.161,-0.021,480,williamhill_us,1,3.57,CONF (statsapi),822934,4.8,-0.188,False
